annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction,prix_m2,age_bien,categorie_prix,categorie_surface,annee_publication,mois_publication,trimestre_publication
ANO000343,2023-05-05,Terrain moderne Meknès,meknès,Hamria,terrain,vente,811401.04,314.4,0.0,1.0,0.0,2014.0,2580.792111959288,12.0,Moyen,Grand,2023,5,2
ANO001296,2023-08-20,Terrain moderne Kenitra,kenitra,Centre,terrain,location,3843.55,36.46,0.0,0.0,1.0,2008.0,105.41826659352715,18.0,Economique,Petit,2023,8,3
ANO001212,2023-06-20,Appartement moderne Oujda,oujda,Hay Qods,appartement,location,9190.7,95.54,2.0,2.0,1.0,2012.0,96.19740422859536,14.0,Economique,Moyen,2023,6,2
ANO001000,2024-01-21,Appartement à vente - Tanger,tanger,Inconnu,appartement,vente,30000.0,93.35,1.0,1.0,3.0,2008.0,321.3711837171934,18.0,Economique,Moyen,2024,1,1
ANO001123,2024-03-19,Beau Villa Rabat,rabat,Souissi,villa,location,20844.72,264.22,3.0,1.0,0.0,2006.0,78.89152978578457,20.0,Economique,Grand,2024,3,1
ANO000927,2024-03-19,Appartement 96m² Talborjt,agadir,Talborjt,appartement,vente,542588.3,96.99,3.0,1.0,4.0,2016.0,5594.270543354985,10.0,Moyen,Moyen,2024,3,1
ANO000511,2023-06-12,Bureau à vente - Tanger,tanger,Inconnu,bureau,vente,1256354.5,49.26,0.0,0.0,1.0,2012.0,25504.557450263907,14.0,Moyen,Petit,2023,6,2
ANO000608,2023-08-17,Appartement moderne Rabat,rabat,Agdal,appartement,vente,2030740.75,79.38,1.0,1.0,1.0,2008.0,25582.52393550013,18.0,Haut Standing,Petit,2023,8,3
ANO000153,2024-10-16,Appartement moderne Fès,fès,Zouagha,appartement,vente,537156.36,59.12,1.0,1.0,8.0,1991.0,9085.865358592693,35.0,Moyen,Petit,2024,10,4
ANO000720,2024-09-12,Beau Appartement Agadir,agadir,Talborjt,appartement,vente,511874.19,117.04,2.0,2.0,1.0,2014.0,4373.497863978127,12.0,Moyen,Moyen,2024,9,3
ANO000965,2023-12-08,Villa moderne Fès,fès,Medina,villa,location,180.0,267.23,5.0,2.0,0.0,2007.0,0.6735770684429143,19.0,Economique,Grand,2023,12,4
ANO000532,2023-02-04,Beau Appartement Meknès,meknès,Hamria,appartement,location,9446.3,25.93,3.0,2.0,0.0,2001.0,364.30003856536825,25.0,Economique,Petit,2023,2,1
ANO000544,2024-02-12,Beau Appartement Oujda,oujda,Hay Qods,appartement,vente,652332.84,97.12,3.0,2.0,1.0,2003.0,6716.771416803953,23.0,Moyen,Moyen,2024,2,1
ANO000172,2023-07-15,Beau Appartement Casablanca,casablanca,Californie,appartement,location,1764.37,70.58,2.0,1.0,1.0,2011.0,24.99815811844715,15.0,Economique,Petit,2023,7,3
ANO001227,2024-07-04,Villa moderne Tétouan,tétouan,Inconnu,villa,location,11183.41,243.3,5.0,2.0,0.0,2001.0,45.965515824085486,25.0,Economique,Grand,2024,7,3
ANO000102,2023-08-24,Appartement à location - Tanger,tanger,Centre Ville,appartement,location,8976.59,84.48,2.0,1.0,1.0,2010.0,106.25698390151514,16.0,Economique,Moyen,2023,8,3
ANO000947,2023-05-29,Appartement à vente - Marrakech,marrakech,Gueliz,appartement,vente,816253.63,81.02,3.0,2.0,7.0,2012.0,10074.717724018761,14.0,Moyen,Moyen,2023,5,2
ANO000946,2024-05-29,Appartement à location - Oujda,oujda,Inconnu,appartement,location,2056.08,132.6,3.0,2.0,1.0,2023.0,15.505882352941176,3.0,Economique,Moyen,2024,5,2
ANO000155,2024-09-20,Bureau 128m² Hay Qods,oujda,Hay Qods,bureau,vente,920109.8,128.56,0.0,0.0,3.0,2008.0,7157.04573739888,18.0,Moyen,Moyen,2024,9,3
ANO001240,2024-11-24,Beau Duplex Fès,fès,Zouagha,duplex,vente,3184749.75,140.93,3.0,1.0,3.0,1998.0,22598.09657276662,28.0,Luxe,Moyen,2024,11,4
ANO000755,2024-11-11,Beau Appartement Casablanca,casablanca,Maarif,appartement,vente,2494312.88,58.22,3.0,1.0,2.0,2010.0,42842.8869804191,16.0,Haut Standing,Petit,2024,11,4
ANO000371,2023-07-28,Terrain à vente - Marrakech,marrakech,Hivernage,terrain,vente,742795.28,326.09,0.0,0.0,1.0,2016.0,2277.884265080193,10.0,Moyen,Grand,2023,7,3
ANO000518,2023-02-23,Appartement moderne Meknès,meknès,Inconnu,appartement,location,2102.24,63.05,3.0,2.0,0.0,2003.0,33.342426645519424,23.0,Economique,Petit,2023,2,1
ANO001464,2023-01-28,Beau Terrain Rabat,rabat,Hay Riad,terrain,vente,975589.83,361.79,0.0,0.0,0.0,2012.0,2696.563835374112,14.0,Moyen,Grand,2023,1,1
ANO001497,2023-09-10,Beau Bureau Meknès,meknès,Ville Nouvelle,bureau,location,6209.83,120.05,0.0,0.0,1.0,2013.0,51.727030403998334,13.0,Economique,Moyen,2023,9,3
ANO000276,2023-10-24,Beau Villa Marrakech,marrakech,Medina,villa,vente,2926692.24,376.37,3.0,1.0,0.0,2005.0,7776.103940271541,21.0,Haut Standing,Grand,2023,10,4
ANO000058,2024-07-23,Terrain à location - Fès,fès,Medina,terrain,location,2221.03,290.75,3.0,0.0,0.0,2005.0,7.63896818572657,21.0,Economique,Grand,2024,7,3
ANO001110,2024-11-20,Duplex moderne Marrakech,marrakech,Targa,duplex,location,5785.75,95.39,3.0,1.0,1.0,2016.0,60.65363245623231,10.0,Economique,Moyen,2024,11,4
ANO000079,2024-01-15,Villa moderne Fès,fès,Ville Nouvelle,villa,vente,3271972.04,300.71,3.0,2.0,0.0,1969.0,10880.822187489608,57.0,Luxe,Grand,2024,1,1
ANO000724,2023-10-12,Beau Appartement Tanger,tanger,Inconnu,appartement,vente,605963.0,109.68,2.0,1.0,1.0,2009.0,5524.826768781911,17.0,Moyen,Moyen,2023,10,4
ANO000034,2024-05-17,Appartement à vente - Rabat,rabat,Ocean,appartement,vente,521849.54,49.62,3.0,1.0,1.0,1993.0,10516.919387343813,33.0,Moyen,Petit,2024,5,2
ANO000723,2024-02-12,Beau Villa Fès,fès,Zouagha,villa,location,19134.85,149.39,5.0,2.0,0.0,1996.0,128.08655197804404,30.0,Economique,Moyen,2024,2,1
ANO000932,1900-01-01,Villa 247m² Centre Ville,tanger,Centre Ville,villa,vente,1736650.85,247.48,6.0,3.0,1.0,2003.0,7017.338168740909,23.0,Haut Standing,Grand,1900,1,1
ANO000898,2023-09-27,Terrain moderne Tanger,tanger,Iberia,terrain,location,2907.1,295.28,3.0,0.0,0.0,2008.0,9.845231644540775,18.0,Economique,Grand,2023,9,3
ANO001322,2024-11-20,Beau Villa Oujda,oujda,Hay Qods,villa,vente,2584419.84,201.34,6.0,4.0,0.0,2012.0,12836.09734776994,14.0,Haut Standing,Grand,2024,11,4
